Lemma,Sense,SuperSense,POS_Tag,Definition,Examples,Head,Amod/Comp,Gender
van_beethoven,beethoven.n.01,noun.person,n,German composer of instrumental music (especially symphonic and chamber music); continued to compose after he lost his hearing (1770-1827),[],composer,,PPN
van_buren,van_buren.n.01,noun.person,n,8th President of the United States (1782-1862),[],President,,PPN
van_de_graaff,van_de_graaff.n.01,noun.person,n,United States physicist (1901-1967),[],physicist,,PPN
van_de_velde,van_de_velde.n.01,noun.person,n,Belgian architect (1863-1957),[],architect,,PPN
van_der_waals,van_der_waals.n.01,noun.person,n,Dutch physicist (1837-1923),[],physicist,,PPN
van_doren,van_doren.n.01,noun.person,n,United States writer and literary critic (1885-1950),[],writer,,PPN
van_dyck,vandyke.n.01,noun.person,n,Flemish painter of numerous portraits (1599-1641),[],painter,,PPN
van_eyck,eyck.n.01,noun.person,n,Flemish painter who was a founder of the Flemish school of painting and who pioneered modern techniques of oil painting (1390-1441),[],painter,,PPN
van_gogh,van_gogh.n.01,noun.person,n,Dutch Post-impressionist painter noted for his use of color (1853-1890),[],noted,,PPN
van_vleck,van_vleck.n.01,noun.person,n,United States physicist (1899-1980),[],physicist,,PPN
van_wyck_brooks,brooks.n.01,noun.person,n,United States literary critic and historian (1886-1963),[],critic,,PPN
vanbrugh,vanbrugh.n.01,noun.person,n,English architect (1664-1726),[],architect,,PPN
vancouver,vancouver.n.01,noun.person,n,English navigator remembered for his exploration of the Pacific coast of North America (1757-1798),[],remembered,,PPN
vandal,vandal.n.01,noun.person,n,someone who willfully destroys or defaces property,[],someone,,N
vandal,vandal.n.02,noun.person,n,a member of the Germanic people who overran Gaul and Spain and North Africa and sacked Rome in 455,[],member,,PPN
vanderbilt,vanderbilt.n.01,noun.person,n,United States financier who accumulated great wealth from railroad and shipping businesses (1794-1877),[],financier,,PPN
vandyke,vandyke.n.01,noun.person,n,Flemish painter of numerous portraits (1599-1641),[],painter,,PPN
vanessa_bell,bell.n.07,noun.person,n,English painter; sister of Virginia Woolf; prominent member of the Bloomsbury Group (1879-1961),[],painter,,PPN
vanessa_stephen,bell.n.07,noun.person,n,English painter; sister of Virginia Woolf; prominent member of the Bloomsbury Group (1879-1961),[],painter,,PPN
vanir,vanir.n.01,noun.person,n,(Norse mythology) race of ancient gods sometimes in conflict with the Aesir,[],mythology,,PPN
vanisher,vanisher.n.01,noun.person,n,a person who disappears,[],person,,N
vannevar_bush,bush.n.05,noun.person,n,United States electrical engineer who designed an early analogue computer and who led the scientific program of the United States during World War II (1890-1974),[],engineer,,PPN
vanquisher,conqueror.n.01,noun.person,n,someone who is victorious by force of arms,[],someone,,N
vanzetti,vanzetti.n.01,noun.person,n,United States anarchist (born in Italy) who with Nicola Sacco was convicted of murder and in spite of world-wide protest was executed (1888-1927),[],anarchist,,PPN
vaquero,vaquero.n.01,noun.person,n,local names for a cowboy (`vaquero' is used especially in southwestern and central Texas and `buckaroo' is used especially in California),[],names,,N
varese,varese.n.01,noun.person,n,United States composer (born in France) whose music combines dissonance with complex rhythms and the use of electronic techniques (1883-1965),[],composer,,PPN
